Title,segmento,email,Phone number,Website,Address,draft_asunto,draft_email,wa_mensaje,wa_link,estado,_origen
Plateas Punilla,WEB_PROPIA,plateaspunillaconstrucciones@gmail.com,03541 15-68-0682,https://plateaspunilla.com.ar/,"Berutti 2274, X5166 Cosquín, Córdoba",Una idea para la web de Plateas Punilla,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Plateas Punilla y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Lionel Almada construcciónes,SIN_WEB,,,,"Esteban Echeverría 1460X5164, Santa María de Punilla, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Lionel Almada construcciónes en Google pero no encontré una web propia. Hoy quien te busca en Santa María de Punilla elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Lionel Almada construcciónes, sin compromiso. ¿Te sirve?",,pendiente,constructora-cosquin-cordoba.csv
DYM-REVESTIMIENTOS,SIN_WEB,,03541 23-0501,,"Av. San Martin 1180, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a DYM en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de DYM, sin compromiso. ¿Te sirve?",https://wa.me/5493541230501,pendiente,constructora-cosquin-cordoba.csv
Obrador BRH,WEB_PROPIA,,,http://www.broggio.com.ar/,"Leopoldo Lugones, X5000 Cosquín, Córdoba",Una idea para la web de Obrador BRH,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Obrador BRH y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Bialet Steel,SIN_WEB,,,,"Belgrano 1350, Bialet Massé, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Bialet Steel en Google pero no encontré una web propia. Hoy quien te busca en Bialet Massé elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Bialet Steel, sin compromiso. ¿Te sirve?",,pendiente,constructora-cosquin-cordoba.csv
Constructora Alpi,SOLO_REDES,,03541 21-9840,https://www.instagram.com/alpiconstructora?igsh=ZGFmMTZuZDd1bWhp,"Av. San Martin 1777, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Instagram de Constructora Alpi, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Cosquín. ¿Te muestro cómo quedaría la de Constructora Alpi? Sin compromiso.",https://wa.me/5493541219840,pendiente,constructora-cosquin-cordoba.csv
doHouse Desarrollos Inmobiliarios,SIN_WEB,,0351 684-5712,,"Shopping Cosquín, Av. San Martin 877 Local 19, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a doHouse Desarrollos Inmobiliarios en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de doHouse Desarrollos Inmobiliarios, sin compromiso. ¿Te sirve?",https://wa.me/5493516845712,pendiente,constructora-cosquin-cordoba.csv
TerraNova.Ventas.Cordoba,SIN_WEB,,03541 67-5919,,"Jaime Dávalos 923, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a TerraNova.Ventas.Cordoba en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de TerraNova.Ventas.Cordoba, sin compromiso. ¿Te sirve?",https://wa.me/5493541675919,pendiente,constructora-cosquin-cordoba.csv
MOVEX,SOLO_REDES,,03541 52-5882,https://www.facebook.com/profile.php?id=61569782556358,"Av. San Martin 601, 5164 Santa María de Punilla, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Facebook de MOVEX, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Santa María de Punilla. ¿Te muestro cómo quedaría la de MOVEX? Sin compromiso.",https://wa.me/5493541525882,pendiente,constructora-cosquin-cordoba.csv
PROingE servicios y construcciones,SIN_WEB,,0351 466-5868,,"Av. San Martin 1893 centro, santa Maria de Punilla- Còrdoba, X5158 Santa Maria",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a PROingE servicios y construcciones en Google pero no encontré una web propia. Hoy quien te busca en centro elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de PROingE servicios y construcciones, sin compromiso. ¿Te sirve?",https://wa.me/5493514665868,pendiente,constructora-cosquin-cordoba.csv
